symbol,name,exchange,yf_ticker,sector,close,sma50,sma200,high_52w,pct_off_high,r1m,r3m,r6m,r12m,turnover_cr,vol_surge,adr_pct,gap_pct,tightness_pct,vol_dryup,contracting,surfing_ma,dist_to_ma_pct,higher_lows,up_down_vol_ratio,under_accumulation,pocket_pivot,power_play,power_play_gain,vcp_contractions,vcp_footprint,range_pos,rolling_over,momentum,trend_template,stage2,vcp_setup,qm_breakout,price_gt_sma10,price_gt_sma20,price_gt_sma50,price_gt_sma150,price_gt_sma200,sma50_gt_sma150,sma150_gt_sma200,sma200_rising,within_25_of_high,above_30_of_low,rs_rating,setup_quality
STLTECH,STLTECH,NSE,STLTECH.NS,Other,588.3,353.44,181.58,679.9,13.47,56.48,226.58,501.35,842.79,196.08,0.7,4.18,-5.0,32.9,True,False,,,1,4.12,True,False,False,,0,,69.34,False,538.48,True,True,False,False,True,True,True,True,True,True,True,True,True,True,100,63
MTARTECH,MTAR TECHNOLOGIES,NSE,MTARTECH.NS,Industrials,7052.0,5939.56,3438.74,8449.5,16.54,9.0,90.01,204.5,396.17,1625.19,0.81,7.32,-5.78,18.89,True,True,,,2,2.12,True,False,True,151.77,0,,20.12,True,238.72,True,True,False,False,False,False,True,True,True,True,True,True,True,True,99,70
VENUSREM,VENUS REMEDIES,NSE,VENUSREM.NS,Other,1695.4,1057.58,751.29,1715.1,1.15,68.4,116.42,103.43,459.82,13.63,4.17,3.95,-1.51,36.17,False,False,,,0,3.35,True,False,False,,0,,97.36,False,245.08,True,True,False,False,True,True,True,True,True,True,True,True,True,True,99,59
VMARCIND,VMARCIND,NSE,VMARCIND.NS,Other,1382.5,1005.85,713.43,1615.0,14.4,35.67,102.3,103.32,373.62,11.09,1.89,7.14,-3.76,35.04,False,False,,,2,2.19,True,False,False,,0,,60.59,False,204.47,True,True,False,False,True,True,True,True,True,True,True,True,True,True,98,68
BLISSGVS,BLISS GVS PHARMA,NSE,BLISSGVS.NS,Other,419.6,295.74,203.47,462.8,9.33,55.61,88.14,185.89,253.17,164.26,0.38,7.13,-2.11,33.83,True,False,,,1,3.99,True,False,False,,3,12W 12/5 3T,76.55,False,180.22,True,True,False,False,True,True,True,True,True,True,True,True,True,True,97,65
DEEDEV,DEEDEV,NSE,DEEDEV.NS,Other,704.7,450.26,295.36,704.7,0.0,50.18,127.98,223.02,214.84,20.98,0.37,5.9,2.51,25.43,True,False,,,2,3.34,True,True,False,,0,,100.0,False,183.46,True,True,False,False,True,True,True,True,True,True,True,True,True,True,97,72
MODISONLTD,MODISONLTD,NSE,MODISONLTD.NS,Other,344.6,183.63,156.81,362.7,4.99,107.52,166.26,146.51,179.5,15.69,0.25,5.79,-1.68,36.13,True,False,,,0,9.78,True,False,False,,0,,90.65,False,159.76,False,True,False,False,True,True,True,True,True,True,False,True,True,True,96,49
BAJAJCON,BAJAJ CONSUMER CARE,NSE,BAJAJCON.NS,Other,575.35,482.2,339.72,594.8,3.27,5.33,53.55,124.88,246.26,47.94,1.51,5.05,0.61,8.61,True,True,10,1.6,3,3.0,True,True,False,,2,12W 11/6 2T,74.34,False,147.21,True,True,True,True,True,True,True,True,True,True,True,True,True,True,95,93
APOLLO,APOLLO MICRO SYSTEMS,NSE,APOLLO.NS,Other,407.0,304.8,274.06,446.9,8.93,25.29,86.98,81.05,245.59,1495.93,1.11,7.65,-1.98,11.84,False,True,,,1,4.0,True,False,True,133.87,3,12W 13/8 3T,69.09,False,142.48,False,True,False,False,False,True,True,True,True,True,False,True,True,True,95,61
HFCL,HFCL,NSE,HFCL.NS,Other,177.87,124.47,84.14,208.98,14.89,26.01,154.79,166.11,124.05,1061.83,0.07,6.35,-5.0,27.54,True,False,,,0,2.94,True,False,True,142.78,0,,57.99,False,133.01,True,True,False,False,False,True,True,True,True,True,True,True,True,True,94,61
IDEAFORGE,IDEAFORGE,NSE,IDEAFORGE.NS,Other,938.75,644.53,506.2,992.25,5.39,15.3,111.53,121.19,148.74,75.64,0.72,6.55,-0.53,22.95,True,False,,,4,3.8,True,False,True,142.62,3,12W 18/12 3T,79.83,False,119.69,True,True,False,False,True,True,True,True,True,True,True,True,True,True,94,69
BBOX,BLACK BOX,NSE,BBOX.NS,Other,1006.2,725.4,572.28,1103.0,8.78,34.45,97.1,95.85,169.65,162.51,0.76,6.12,-2.23,19.57,True,False,,,3,7.02,True,False,True,124.94,0,,50.85,False,119.48,True,True,False,False,False,True,True,True,True,True,True,True,True,True,93,68
SAKAR,SAKAR HEALTHCARE,NSE,SAKAR.NS,Other,767.6,652.43,471.01,871.3,11.9,40.71,42.52,82.0,182.66,24.73,0.75,8.34,-2.35,15.15,True,True,,,2,2.74,True,False,False,,2,12W 21/7 2T,21.02,True,110.24,True,True,False,False,False,True,True,True,True,True,True,True,True,True,92,69
