symbol,name,exchange,yf_ticker,sector,close,sma50,sma200,high_52w,pct_off_high,r1m,r3m,r6m,r12m,turnover_cr,vol_surge,adr_pct,gap_pct,tightness_pct,vol_dryup,contracting,surfing_ma,dist_to_ma_pct,higher_lows,up_down_vol_ratio,under_accumulation,pocket_pivot,power_play,power_play_gain,vcp_contractions,vcp_footprint,range_pos,rolling_over,momentum,trend_template,stage2,vcp_setup,qm_breakout,price_gt_sma10,price_gt_sma20,price_gt_sma50,price_gt_sma150,price_gt_sma200,sma50_gt_sma150,sma150_gt_sma200,sma200_rising,within_25_of_high,above_30_of_low,rs_rating,setup_quality
DFNS,T3 Defense Inc. - Common Stock,NASDAQ,DFNS,Other,50.22,2.42,3.16,61.38,18.18,28928.9,10384.34,1892.86,542.2,148.95,0.82,46.37,63.46,122.14,False,False,,,1,0.24,False,False,False,,0,,81.81,False,5754.5,False,False,False,False,True,True,True,True,True,True,False,False,True,True,100,52
ANRO,"Alto Neuroscience, Inc. Common Stock",NYSE,ANRO,Other,26.72,23.74,19.33,28.85,7.38,-4.81,9.19,58.95,764.72,15.82,0.56,8.15,0.66,11.83,True,True,10,1.61,4,1.66,True,False,False,,3,12W 23/11 3T,47.28,False,324.93,True,True,True,False,False,False,True,True,True,True,True,True,True,True,99,92
FBRX,"Forte Biosciences, Inc.  - Common Stock",NASDAQ,FBRX,Other,76.53,29.57,25.79,76.68,0.2,258.96,190.05,115.4,558.04,139.66,6.58,13.45,-0.05,46.98,False,False,,,2,2.75,True,False,False,,3,12W 33/10 3T,99.73,False,321.74,True,True,False,False,True,True,True,True,True,True,True,True,True,True,98,72
CLYM,"Climb Bio, Inc. - Common Stock",NASDAQ,CLYM,Other,12.11,12.05,6.97,14.41,15.99,-9.36,30.78,136.52,656.87,15.72,0.69,8.47,1.06,22.01,True,False,50,5.55,1,2.39,True,False,False,,3,12W 21/7 3T,13.51,True,308.93,True,True,False,False,False,False,True,True,True,True,True,True,True,True,98,72
EVC,Entravision Communications Corporation Common Stock,NYSE,EVC,Other,11.04,10.37,4.98,13.74,19.65,-18.1,189.07,259.46,387.25,18.16,0.95,6.41,1.46,14.31,True,True,50,6.53,1,1.48,True,True,True,122.82,2,12W 26/9 2T,43.61,False,268.74,True,True,False,False,True,False,True,True,True,True,True,True,True,True,97,89
ORKA,"Oruka Therapeutics, Inc. - Common Stock",NASDAQ,ORKA,Other,88.07,76.39,48.29,97.78,9.93,-4.78,19.03,152.35,528.62,105.3,0.56,5.88,0.51,17.66,True,False,10,3.61,0,1.21,True,False,False,,0,,47.27,False,260.48,True,True,False,False,False,False,True,True,True,True,True,True,True,True,96,73
ALMS,Alumis Inc. - Common Stock,NASDAQ,ALMS,Other,26.38,24.68,19.73,31.35,15.85,-2.8,9.83,1.46,552.97,38.38,0.58,6.78,0.48,16.34,True,True,,,2,1.6,True,False,False,,0,,11.67,True,223.31,True,True,False,False,False,False,True,True,True,True,True,True,True,True,95,68
SYRE,"Spyre Therapeutics, Inc. - Common Stock",NASDAQ,SYRE,Other,97.87,86.4,51.58,105.09,6.87,8.55,42.61,193.38,476.38,113.36,0.88,6.32,-0.58,12.96,True,True,10,1.7,1,1.11,True,False,False,,2,12W 20/6 2T,43.24,False,257.94,True,True,True,False,False,True,True,True,True,True,True,True,True,True,95,84
RLAY,"Relay Therapeutics, Inc. - Common Stock",NASDAQ,RLAY,Other,18.37,16.72,11.22,20.79,11.64,-6.94,40.98,116.12,396.49,54.49,0.45,6.32,2.46,14.59,True,False,,,2,1.44,True,False,False,,0,,21.43,True,200.93,True,True,False,False,False,False,True,True,True,True,True,True,True,True,94,59
DFTX,"Definium Therapeutics, Inc.  - Common Shares",NASDAQ,DFTX,Other,42.16,34.36,20.79,49.2,14.31,-9.43,98.21,141.19,335.54,86.89,0.57,6.31,0.1,19.47,True,False,,,0,2.28,True,False,True,154.53,0,,22.78,True,195.27,True,True,False,False,False,False,True,True,True,True,True,True,True,True,93,53
