symbol,yf_ticker,name,exchange
3MINDIA,3MINDIA.NS,3M India Ltd.,NSE
ABB,ABB.NS,ABB India Ltd.,NSE
ACC,ACC.NS,ACC Ltd.,NSE
AIAENG,AIAENG.NS,AIA Engineering Ltd.,NSE
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,NSE
AUBANK,AUBANK.NS,AU Small Finance Bank Ltd.,NSE
AAVAS,AAVAS.NS,Aavas Financiers Ltd.,NSE
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,NSE
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,NSE
ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,NSE
ADANITRANS,ADANITRANS.NS,Adani Transmission Ltd.,NSE
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,NSE
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,NSE
ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme Tech Ltd.,NSE
AEGISCHEM,AEGISCHEM.NS,Aegis Logistics Ltd.,NSE
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,NSE
AKZOINDIA,AKZOINDIA.NS,Akzo Nobel India Ltd.,NSE
APLLTD,APLLTD.NS,Alembic Pharmaceuticals Ltd.,NSE
ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,NSE
ALBK,ALBK.NS,Allahabad Bank,NSE
ALLCARGO,ALLCARGO.NS,Allcargo Logistics Ltd.,NSE
AMARAJABAT,AMARAJABAT.NS,Amara Raja Batteries Ltd.,NSE
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,NSE
ANDHRABANK,ANDHRABANK.NS,Andhra Bank,NSE
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,NSE
APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Ltd.,NSE
ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Ltd.,NSE
ASHOKA,ASHOKA.NS,Ashoka Buildcon Ltd.,NSE
ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,NSE
ASTERDM,ASTERDM.NS,Aster DM Healthcare Ltd.,NSE
ASTRAZEN,ASTRAZEN.NS,AstraZenca Pharma India Ltd.,NSE
ASTRAL,ASTRAL.NS,Astral Poly Technik Ltd.,NSE
ATUL,ATUL.NS,Atul Ltd.,NSE
AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Ltd.,NSE
AVANTIFEED,AVANTIFEED.NS,Avanti Feeds Ltd.,NSE
DMART,DMART.NS,Avenue Supermarts Ltd.,NSE
AXISBANK,AXISBANK.NS,Axis Bank Ltd.,NSE
BASF,BASF.NS,BASF India Ltd.,NSE
BEML,BEML.NS,BEML Ltd.,NSE
BSE,BSE.NS,BSE Ltd.,NSE
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,NSE
BAJAJCON,BAJAJCON.NS,Bajaj Consumer Care Ltd.,NSE
BAJAJELEC,BAJAJELEC.NS,Bajaj Electricals Ltd,NSE
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Ltd.,NSE
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,NSE
BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,NSE
BALKRISIND,BALKRISIND.NS,Balkrishna Industries Ltd.,NSE
BALMLAWRIE,BALMLAWRIE.NS,Balmer Lawrie & Co. Ltd.,NSE
BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,NSE
BANDHANBNK,BANDHANBNK.NS,Bandhan Bank Ltd.,NSE
BANKBARODA,BANKBARODA.NS,Bank of Baroda,NSE
BANKINDIA,BANKINDIA.NS,Bank of India,NSE
MAHABANK,MAHABANK.NS,Bank of Maharashtra.,NSE
BATAINDIA,BATAINDIA.NS,Bata India Ltd.,NSE
BERGEPAINT,BERGEPAINT.NS,Berger Paints India Ltd.,NSE
BDL,BDL.NS,Bharat Dynamics Ltd.,NSE
BEL,BEL.NS,Bharat Electronics Ltd.,NSE
BHARATFORG,BHARATFORG.NS,Bharat Forge Ltd.,NSE
BHEL,BHEL.NS,Bharat Heavy Electricals Ltd.,NSE
BPCL,BPCL.NS,Bharat Petroleum Corporation Ltd.,NSE
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Ltd.,NSE
INFRATEL,INFRATEL.NS,Bharti Infratel Ltd.,NSE
BIOCON,BIOCON.NS,Biocon Ltd.,NSE
BIRLACORPN,BIRLACORPN.NS,Birla Corporation Ltd.,NSE
BLISSGVS,BLISSGVS.NS,Bliss GVS Pharma Ltd.,NSE
BLUEDART,BLUEDART.NS,Blue Dart Express Ltd.,NSE
BLUESTARCO,BLUESTARCO.NS,Blue Star Ltd.,NSE
BBTC,BBTC.NS,Bombay Burmah Trading Corporation Ltd.,NSE
BOMDYEING,BOMDYEING.NS,Bombay Dyeing & Manufacturing Co. Ltd.,NSE
BOSCHLTD,BOSCHLTD.NS,Bosch Ltd.,NSE
BRIGADE,BRIGADE.NS,Brigade Enterprises Ltd.,NSE
BRITANNIA,BRITANNIA.NS,Britannia Industries Ltd.,NSE
CARERATING,CARERATING.NS,CARE Ratings Ltd.,NSE
CCL,CCL.NS,CCL Products (I) Ltd.,NSE
CESC,CESC.NS,CESC Ltd.,NSE
